CUSTOMER_ID,REGION,AGE,PARENT,OCCUPATION,MOBILE_APP_USER,CARD_COLOUR,CREDIT_LIMIT,SPEND_M1_TRAVEL,SPEND_M1_GROCERY,SPEND_M1_OTHER,SPEND_M2_TRAVEL,SPEND_M2_GROCERY,SPEND_M2_OTHER,SPEND_M3_TOTAL
0,England,48,0,Employed,1,Blue,250,5.71,16.6,4.95,8.64,13.04,7.49,30.51
1,Northern Ireland,42,0,Employed,1,Red,500,38.27,43.51,79.22,90.1,0,78.4,20.41
2,England,28,1,Employed,1,Black,250,32.9,59.49,8.04,36.07,56.74,18.74,109.33
3,England,31,0,Unemployed,1,Black,500,32.6,47.55,23.87,14.45,21.08,10.58,50.34
4,England,47,1,Student,1,Black,1000,262.42,0,26.7,229.87,0,183.74,184.99
5,Scotland,49,1,Self-employed,1,Red,250,46.48,52.71,18.92,42.16,53.82,10.56,70.28
6,England,59,0,Employed,1,Red,250,0,25.4,54.99,0,27.21,46.15,113.16
7,Wales,65,0,Employed,1,Blue,250,46.71,22.76,54.56,49.46,21.37,27.83,52.71
8,England,31,0,Self-employed,1,Black,250,0.54,1.3,0.36,9.35,22.48,6.24,15.26
9,Wales,48,1,Employed,0,Blue,1000,15.22,148.6,22.48,74.43,152.11,7.47,153.68
10,England,56,0,Retired,0,Blue,500,19.1,18.59,13.82,37.69,36.68,27.27,47.94
11,England,99,0,Employed,0,Red,250,0.9,38.89,15.05,23.01,35.43,47.15,52.15
12,Scotland,22,0,Employed,0,Black,500,0,0,0,19.93,33.3,12.25,69.91
13,England,47,0,Employed,0,Blue,250,5.69,15.2,3.89,5.09,13.6,3.48,12.44
14,England,52,1,Student,1,Black,250,0,60.06,0,0,47.04,53.86,60.22
15,Wales,53,0,Retired,1,Blue,250,7.19,15.59,11.27,1.13,2.44,1.77,47.9
16,England,51,0,Self-employed,1,Black,1000,172.44,78.27,10.04,0,0,0,245.55
17,Wales,58,1,Student,1,Blue,250,39.95,48.6,10.15,29.21,47.4,3.24,51.75
18,England,29,1,Self-employed,1,Black,250,17.15,47.56,5.7,26.02,0,18.1,20.66
19,Northern Ireland,32,0,Unemployed,1,Black,500,39.26,45.11,38.81,42.74,0,31.71,158.96
20,England,54,0,Retired,0,Red,250,2.59,9.42,2.25,11.61,42.17,10.06,14.36
21,Northern Ireland,55,0,Retired,0,Blue,250,11.94,31.66,9.54,8.01,10.55,6.41,41.45
22,England,52,1,Retired,1,Black,250,12.29,29.58,12.82,5.82,14,6.07,17.84
23,England,71,0,Employed,1,Red,250,2.37,4.54,44.06,20.9,19.23,97.05,79.52
24,England,30,0,Student,1,Red,250,28.56,0,2.08,0,0,6.93,13.34
25,England,57,0,Self-employed,0,Red,250,8.28,10.52,4.62,10.53,13.38,5.87,20.12
26,England,52,0,Employed,1,Red,250,4.87,7.35,67.32,0,24.43,50.85,68.17
27,England,50,0,Employed,1,Red,500,20.73,8.62,41.13,32.2,7.77,85.07,189.46
28,England,61,0,Retired,0,Blue,500,29.45,51.15,38.65,13.25,23.01,17.38,110.4
29,Northern Ireland,40,0,Self-employed,1,Red,250,38.07,1.67,28.17,39.3,16.16,42.02,40.67
30,England,18,0,Student,1,Black,500,133.81,33.91,0,96.76,37.47,0,73.08
31,England,38,1,Student,1,Black,500,51.67,97.58,0,52.48,111.54,58.12,205.9
32,England,32,0,Self-employed,1,Red,500,11.96,13.34,10.55,23.3,25.99,20.54,35.31
33,England,55,0,Retired,0,Black,1000,1.39,0.64,0.82,146.01,67.48,85.8,61.97
34,England,39,1,Employed,1,Black,250,0,47.85,27.91,0,52.92,10.67,53.62
